FA,Dhtl,Lhsnl
1,Dhtl_1,58
2,Dhtl_2,50
3,Dhtl_3,16
4,Dhtl_4,57
5,Dhtl_5,5
6,Dhtl_6,72
7,Dhtl_7,39
8,Dhtl_8,15
9,Dhtl_9,57
10,Dhtl_10,33
11,Dhtl_11,87
12,Dhtl_12,25
13,Dhtl_13,46
14,Dhtl_14,62
15,Dhtl_15,63
16,Dhtl_16,38
17,Dhtl_17,19
18,Dhtl_18,68
19,Dhtl_19,91
20,Dhtl_20,2
21,Dhtl_21,64
22,Dhtl_22,19
23,Dhtl_23,85
24,Dhtl_24,13
25,Dhtl_25,94
26,Dhtl_26,45
27,Dhtl_27,81
28,Dhtl_28,83
29,Dhtl_29,58
30,Dhtl_30,23
31,Dhtl_31,15
32,Dhtl_32,42
33,Dhtl_33,86
34,Dhtl_34,48
35,Dhtl_35,51
36,Dhtl_36,36
37,Dhtl_37,36
38,Dhtl_38,84
39,Dhtl_39,88
40,Dhtl_40,8
41,Dhtl_41,45
42,Dhtl_42,44
43,Dhtl_43,23
44,Dhtl_44,77
45,Dhtl_45,21
46,Dhtl_46,63
47,Dhtl_47,64
48,Dhtl_48,42
49,Dhtl_49,77
50,Dhtl_50,46
51,Dhtl_51,26
52,Dhtl_52,9
53,Dhtl_53,97
54,Dhtl_54,10
55,Dhtl_55,18
56,Dhtl_56,98
57,Dhtl_57,18
58,Dhtl_58,5
59,Dhtl_59,89
60,Dhtl_60,3
61,Dhtl_61,17
62,Dhtl_62,39
63,Dhtl_63,57
64,Dhtl_64,85
65,Dhtl_65,3
66,Dhtl_66,7
67,Dhtl_67,11
68,Dhtl_68,5
69,Dhtl_69,54
70,Dhtl_70,6
71,Dhtl_71,15
72,Dhtl_72,93
73,Dhtl_73,43
74,Dhtl_74,78
75,Dhtl_75,45
76,Dhtl_76,2
77,Dhtl_77,1
78,Dhtl_78,6
79,Dhtl_79,74
80,Dhtl_80,46
81,Dhtl_81,19
82,Dhtl_82,27
83,Dhtl_83,68
84,Dhtl_84,14
85,Dhtl_85,27
86,Dhtl_86,84
87,Dhtl_87,73
88,Dhtl_88,45
89,Dhtl_89,43
90,Dhtl_90,28
91,Dhtl_91,76
92,Dhtl_92,18
93,Dhtl_93,95
94,Dhtl_94,22
95,Dhtl_95,59
96,Dhtl_96,94
97,Dhtl_97,16
98,Dhtl_98,14
99,Dhtl_99,31
100,Dhtl_100,79
101,Dhtl_101,95
102,Dhtl_102,89
103,Dhtl_103,23
104,Dhtl_104,21
105,Dhtl_105,71
106,Dhtl_106,91
107,Dhtl_107,51
108,Dhtl_108,58
109,Dhtl_109,95
110,Dhtl_110,45
111,Dhtl_111,92
112,Dhtl_112,57
113,Dhtl_113,73
114,Dhtl_114,76
115,Dhtl_115,80
116,Dhtl_116,81
117,Dhtl_117,25
118,Dhtl_118,91
119,Dhtl_119,34
120,Dhtl_120,7
121,Dhtl_121,8
122,Dhtl_122,89
123,Dhtl_123,85
124,Dhtl_124,50
125,Dhtl_125,70
126,Dhtl_126,59
127,Dhtl_127,45
128,Dhtl_128,4
129,Dhtl_129,47
130,Dhtl_130,95
131,Dhtl_131,77
132,Dhtl_132,82
133,Dhtl_133,74
134,Dhtl_134,63
135,Dhtl_135,67
136,Dhtl_136,21
137,Dhtl_137,18
138,Dhtl_138,7
139,Dhtl_139,62
140,Dhtl_140,25
141,Dhtl_141,60
142,Dhtl_142,16
143,Dhtl_143,93
144,Dhtl_144,72
145,Dhtl_145,50
146,Dhtl_146,10
147,Dhtl_147,18
148,Dhtl_148,72
149,Dhtl_149,98
150,Dhtl_150,63
151,Dhtl_151,14
152,Dhtl_152,54
153,Dhtl_153,2
154,Dhtl_154,27
155,Dhtl_155,8
156,Dhtl_156,17
157,Dhtl_157,68
158,Dhtl_158,18
159,Dhtl_159,4
160,Dhtl_160,75
161,Dhtl_161,75
162,Dhtl_162,56
163,Dhtl_163,33
164,Dhtl_164,61
165,Dhtl_165,40
166,Dhtl_166,63
167,Dhtl_167,93
168,Dhtl_168,40
169,Dhtl_169,65
170,Dhtl_170,29
171,Dhtl_171,28
172,Dhtl_172,15
173,Dhtl_173,37
174,Dhtl_174,80
175,Dhtl_175,33
176,Dhtl_176,54
177,Dhtl_177,37
178,Dhtl_178,76
179,Dhtl_179,92
180,Dhtl_180,13
181,Dhtl_181,32
182,Dhtl_182,14
183,Dhtl_183,9
184,Dhtl_184,80
185,Dhtl_185,62
186,Dhtl_186,96
187,Dhtl_187,81
