Station,Temperature,Date
SYDNEY,27.3,2022-01-14
SYDNEY,28.9,2022-02-18
SYDNEY,25.6,2022-03-22
SYDNEY,22.8,2022-04-10
SYDNEY,19.5,2022-05-08
SYDNEY,16.1,2022-06-25
SYDNEY,14.8,2022-07-30
SYDNEY,17.6,2022-08-14
SYDNEY,20.4,2022-09-20
SYDNEY,23.9,2022-10-25
SYDNEY,26.7,2022-11-18
SYDNEY,29.4,2022-12-12
MELBOURNE,24.5,2022-01-20
MELBOURNE,26.1,2022-02-25
MELBOURNE,21.8,2022-03-12
MELBOURNE,18.2,2022-04-28
MELBOURNE,15.3,2022-05-18
MELBOURNE,12.9,2022-06-08
MELBOURNE,11.4,2022-07-15
MELBOURNE,14.7,2022-08-22
MELBOURNE,17.9,2022-09-30
MELBOURNE,21.5,2022-10-14
MELBOURNE,24.2,2022-11-28
MELBOURNE,26.8,2022-12-18
ADELAIDE,30.7,2022-01-08
ADELAIDE,32.4,2022-02-15
ADELAIDE,28.9,2022-03-20
ADELAIDE,25.1,2022-04-12
ADELAIDE,21.8,2022-05-25
ADELAIDE,18.4,2022-06-18
ADELAIDE,16.9,2022-07-22
ADELAIDE,19.7,2022-08-30
ADELAIDE,23.3,2022-09-15
ADELAIDE,27.1,2022-10-20
ADELAIDE,29.8,2022-11-10
ADELAIDE,33.2,2022-12-25
